Sensor,Time,Date,Flow,Occupancy,Vehicles Entered,Speed,Harmonic Mean Speed,Length,Vehicles Contributed,Label
Start Points,60.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
Mid Points,60.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
End Points,60.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
OStart Points,60.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
Start Points,120.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
Mid Points,120.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
End Points,120.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
OStart Points,120.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
Start Points,180.0,2025-01-01,100.0,5.036666666666666,3.0,4.246666666666667,4.153333333333333,4.343333333333333,1.6666666666666667,0
Mid Points,180.0,2025-01-01,80.0,1.1866666666666668,1.3333333333333333,3.8433333333333333,3.84,1.76,1.3333333333333333,0
End Points,180.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
OStart Points,180.0,2025-01-01,90.0,2.41,2.0,10.295,10.245,6.75,1.5,0
Start Points,240.0,2025-01-01,60.0,2.1533333333333333,1.3333333333333333,4.53,4.53,5.683333333333334,1.0,0
Mid Points,240.0,2025-01-01,100.0,1.7,1.6666666666666667,3.7533333333333334,3.7433333333333336,2.0733333333333337,1.6666666666666667,0
End Points,240.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
OStart Points,240.0,2025-01-01,240.0,7.0600000000000005,3.5,9.094999999999999,9.075,6.3,4.0,0
Start Points,300.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
Mid Points,300.0,2025-01-01,20.0,0.3466666666666667,0.3333333333333333,3.1199999999999997,3.1199999999999997,1.7,0.3333333333333333,0
End Points,300.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
OStart Points,300.0,2025-01-01,30.0,0.855,0.5,2.955,2.955,3.05,0.5,0
Start Points,360.0,2025-01-01,40.0,2.6833333333333336,1.3333333333333333,1.4933333333333334,1.4933333333333334,3.3333333333333335,0.6666666666666666,0
Mid Points,360.0,2025-01-01,40.0,0.9700000000000001,0.6666666666666666,3.92,3.92,3.3333333333333335,0.6666666666666666,0
End Points,360.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
OStart Points,360.0,2025-01-01,30.0,1.44,0.5,2.965,2.965,5.5,0.5,0
Start Points,420.0,2025-01-01,40.0,2.6533333333333333,1.3333333333333333,1.62,1.62,3.3333333333333335,0.6666666666666666,0
Mid Points,420.0,2025-01-01,40.0,1.1633333333333333,1.0,3.276666666666667,3.186666666666667,2.516666666666667,0.6666666666666666,0
End Points,420.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
OStart Points,420.0,2025-01-01,90.0,3.8,1.5,2.915,2.91,4.685,1.5,0
Start Points,480.0,2025-01-01,20.0,1.0466666666666666,0.6666666666666666,1.0466666666666666,1.0466666666666666,1.7,0.3333333333333333,0
Mid Points,480.0,2025-01-01,60.0,0.9166666666666666,0.6666666666666666,3.356666666666667,3.2866666666666666,2.2433333333333336,1.0,0
End Points,480.0,2025-01-01,20.0,0.86,0.3333333333333333,1.9166666666666667,1.9166666666666667,3.3333333333333335,0.3333333333333333,0
OStart Points,480.0,2025-01-01,60.0,2.875,1.0,2.475,2.39,4.275,1.0,0
Start Points,540.0,2025-01-01,60.0,3.2466666666666666,2.0,0.8966666666666668,0.7866666666666667,2.01,1.0,0
Mid Points,540.0,2025-01-01,60.0,0.9766666666666667,1.0,3.9033333333333338,3.9,2.01,1.0,0
End Points,540.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
OStart Points,540.0,2025-01-01,60.0,1.88,1.0,2.66,2.65,3.05,1.0,0
Start Points,600.0,2025-01-01,40.0,1.61,1.0,5.526666666666666,5.526666666666666,5.333333333333333,0.6666666666666666,0
Mid Points,600.0,2025-01-01,40.0,0.7066666666666667,0.6666666666666666,3.76,3.76,2.1666666666666665,0.6666666666666666,0
End Points,600.0,2025-01-01,40.0,1.1366666666666667,0.6666666666666666,1.3133333333333335,1.3133333333333335,1.3499999999999999,0.6666666666666666,0
OStart Points,600.0,2025-01-01,120.0,4.05,2.0,3.09,3.075,3.75,2.0,0
Start Points,660.0,2025-01-01,20.0,0.4766666666666666,0.3333333333333333,2.0866666666666664,2.0866666666666664,1.7,0.3333333333333333,0
Mid Points,660.0,2025-01-01,60.0,1.2899999999999998,1.0,7.346666666666667,7.34,4.866666666666666,1.0,0
End Points,660.0,2025-01-01,20.0,0.29333333333333333,0.3333333333333333,3.8066666666666666,3.8066666666666666,1.7,0.3333333333333333,0
OStart Points,660.0,2025-01-01,30.0,0.86,0.5,1.92,1.92,2.0,0.5,0
Start Points,720.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
Mid Points,720.0,2025-01-01,20.0,0.3433333333333333,0.3333333333333333,3.1666666666666665,3.1666666666666665,1.7,0.3333333333333333,0
End Points,720.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
OStart Points,720.0,2025-01-01,60.0,2.24,1.0,3.025,3.02,4.275,1.0,0
Start Points,780.0,2025-01-01,40.0,1.1633333333333333,1.0,3.9133333333333336,3.9133333333333336,3.0,0.6666666666666666,0
Mid Points,780.0,2025-01-01,20.0,0.18000000000000002,0.3333333333333333,4.493333333333333,4.493333333333333,1.0,0.3333333333333333,0
End Points,780.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
OStart Points,780.0,2025-01-01,30.0,0.52,0.5,3.49,3.49,2.0,0.5,0
Start Points,840.0,2025-01-01,20.0,1.3366666666666667,0.6666666666666666,1.53,1.53,3.3333333333333335,0.3333333333333333,0
Mid Points,840.0,2025-01-01,60.0,1.07,1.0,3.5233333333333334,3.4466666666666668,2.01,1.0,0
End Points,840.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
OStart Points,840.0,2025-01-01,90.0,3.03,1.5,2.855,2.82,3.5149999999999997,1.5,0
Start Points,900.0,2025-01-01,20.0,1.343333333333333,0.6666666666666666,1.5133333333333334,1.5133333333333334,3.3333333333333335,0.3333333333333333,0
Mid Points,900.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
End Points,900.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
OStart Points,900.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
Start Points,960.0,2025-01-01,40.0,0.9566666666666667,1.0,4.673333333333333,4.673333333333333,2.066666666666667,0.6666666666666666,0
Mid Points,960.0,2025-01-01,40.0,0.6933333333333334,0.6666666666666666,3.873333333333333,3.873333333333333,2.1666666666666665,0.6666666666666666,0
End Points,960.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
OStart Points,960.0,2025-01-01,30.0,1.42,0.5,3.025,3.025,5.5,0.5,0
Start Points,1020.0,2025-01-01,40.0,1.7633333333333334,1.0,4.916666666666667,4.916666666666667,6.033333333333334,0.6666666666666666,0
Mid Points,1020.0,2025-01-01,60.0,0.87,1.0,3.7866666666666666,3.766666666666667,1.7,1.0,0
End Points,1020.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
OStart Points,1020.0,2025-01-01,90.0,1.915,1.5,2.55,2.515,1.8849999999999998,1.5,0
Start Points,1080.0,2025-01-01,60.0,2.473333333333333,1.6666666666666667,4.386666666666667,4.203333333333333,4.166666666666667,1.0,0
Mid Points,1080.0,2025-01-01,40.0,0.4366666666666667,0.6666666666666666,3.5733333333333337,3.563333333333333,1.0,0.6666666666666666,0
End Points,1080.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
OStart Points,1080.0,2025-01-01,90.0,2.72,1.5,2.845,2.835,3.165,1.5,0
Start Points,1140.0,2025-01-01,40.0,1.2733333333333334,1.0,5.203333333333333,5.203333333333333,3.6999999999999997,0.6666666666666666,0
Mid Points,1140.0,2025-01-01,60.0,1.0433333333333332,1.0,3.5366666666666666,3.4933333333333336,2.01,1.0,0
End Points,1140.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
OStart Points,1140.0,2025-01-01,60.0,2.5,1.0,2.66,2.655,4.275,1.0,0
Start Points,1200.0,2025-01-01,20.0,1.3833333333333335,0.6666666666666666,1.3499999999999999,1.3499999999999999,3.3333333333333335,0.3333333333333333,0
Mid Points,1200.0,2025-01-01,20.0,0.49333333333333335,0.3333333333333333,3.84,3.84,3.3333333333333335,0.3333333333333333,0
End Points,1200.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
OStart Points,1200.0,2025-01-01,60.0,2.39,1.0,2.345,2.28,3.75,1.0,0
Start Points,1260.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
Mid Points,1260.0,2025-01-01,60.0,1.14,1.0,6.896666666666666,6.836666666666666,5.216666666666667,1.0,0
